Name,Time,Personnel,Soil_Type,Land_cover,Colour,Soil_moisture_field,Observations,pH,EC,Soil_Moisture_Lab,Notes,RPD_pH,RPD_EC,RPD_SM,Dist_Sea,Aqua_in_GRID,Grid_Cell_ID,Grid,X,Blue,Green,Red,NIR,SWIR1,SWIR2
C-S01_20240213,2024-02-13T11:52:00Z,DN,Clayey,Fallow rice recently planted moong dal,5Y 5/1 | Grey,Moist,Grow moong dal using water from a nearby canal,6.04,488,,,,,,5,104,C15,C,1,9198,10559,10817,15373,16239,13794
C-S02_20240213,2024-02-13T13:00:00Z,DN+GJ,Clayey,Fallow rice field,5Y 4/2 | Greyish olive,Matte,,6.61,678.2,,,,,,4,447,C14,C,1,9204,10471,10791,14768,15569,13142
C-S03_20240213,2024-02-13T13:46:00Z,DN,Clayey,Former agricultural land,5Y 4/2 | Greyish olive,Matte,,6.72,504.4,,,,,,4,112,C24,C,2,9911,11216,11948,16251,18521,16456
C-S04_20240213,2024-02-13T14:48:00Z,DN,Clayey,Fallow rice field,5Y 4/1 | Grey,Matte,,6.52,370,,,,,,5,165,C35,C,3,9089,10434,10526,15132,14973,13235
C-S05_20240213,2024-02-13T15:10:00Z,DN,Clayey,No agricultural use no surrounding built-up,5Y 4/4 | Olive,Dry,,5.6,515.2,,,,,,5,165,C35,C,3,8794,10042,10054,14832,15725,12701
C-S06_20240213,2024-02-13T16:26:00Z,DN,Clayey,Fallow rice recently planted moong dal,2.5Y 5/1 | Yellowish grey,Moist,,5.85,891.1,,,,,,4,300,C44,C,4,9355,10600,10874,15337,16589,13631
C-S07_20240213,2024-02-13T16:40:00Z,DN,Clayey,Fallow rice field,2.5Y 5/2 | Dark greyish yellow,Moist,,5.48,98.1,,,,,,4,300,C44,C,4,8768,9820,9578,14501,13051,11039
C-S08_20240213,2024-02-13T17:06:00Z,DN,Clayey,Fallow rice field,2.5Y 5/2 | Dark greyish yellow,Matte,,5.31,177.3,,,,,,3,242,C43,C,4,9120,10547,10816,14905,16399,14125
C-S09_20240213,2024-02-13T17:34:00Z,DN,Clayey,Fallow rice field,5Y 4/1 | Grey,Matte,,5.79,283.9,,,,,,3,242,C43,C,4,9503,10887,11023,16318,17217,13969
C-S10_20240214,2024-02-14T10:29:00Z,DN,Sandy clay,Other food crop,5Y 4/1 | Grey,Moist,Locally named 'Doi',6.09,139.5,,Repeated EC = 132.5 µS/cm,1.3,99.8,101.2,5,104,C15,C,1,8798,10119,9871,15813,13918,11722
C-S11_20240214,2024-02-14T10:29:00Z,DN,Sandy clay,Other food crop,5Y 4/1 | Grey,Moist,DUPLICATE,6.01,417.2,,Repeated EC = 404.2 µS/cm,,,,5,104,C15,C,1,8798,10119,9871,15813,13918,11722
C-S12_20240214,2024-02-14T12:02:00Z,DN,Clayey,Fallow rice recently planted moong dal,7.5Y 5/1 | Grey,Matte,Hole collapse,6.05,478.7,,,,,,4,112,C24,C,2,8911,10210,10280,15603,15686,13140
C-S13_20240214,2024-02-14T13:03:00Z,DN,Clayey,Fallow rice recently planted moong dal,7.5Y 5/1 | Grey,Matte,Hole collapse,6.07,181.8,,,,,,4,209,C34,C,3,9423,10691,11104,14788,16758,14840
C-S14_20240214,2024-02-14T14:05:00Z,DN,Clayey,Fallow rice recently planted moong dal,5Y 4/1 | Grey,Slightly dry,In between matte and dry,6.42,513,,,,,,4,209,C34,C,3,9352,10676,11088,15868,15495,13084
C-S15_20240214,2024-02-14T14:34:00Z,DN,Clayey,Fallow rice recently planted moong dal,2.5Y 4/1 | Yellowish grey,Moist,Moist even very close to the surface,4.65,1080,,1.08 mS/cm,4.4,31.5,,3,409,C33,C,3,9258,10547,10836,15801,16882,13780
C-S16_20240214,2024-02-14T14:34:00Z,DN,Clayey,Fallow rice recently planted moong dal,2.5Y 4/1 | Yellowish grey,Moist,DUPLICATE,4.86,786,,,,,,3,409,C33,C,3,9258,10547,10836,15801,16882,13780
C-S17_20240214,2024-02-14T15:15:00Z,DN,Clayey,Fallow rice and grazing field,2.5Y 5/2 | Dark greyish yellow,Moist,Moisture retained even at soil surface owing to a blanket of paddy remaining post-harvest; Cow grazing,5.37,380.6,,,,,,3,409,C33,C,3,8842,10471,10678,16095,16506,13154
C-S18_20240214,2024-02-14T15:59:00Z,DN,Clayey,Fallow rice recently planted moong dal,7.5Y 5/1 | Grey,Matte,,5.82,1229,,,,,,3,518,C23,C,2,9139,10523,10686,15737,16077,13198
C-S19_20240214,2024-02-14T16:31:00Z,DN,Clayey,Fallow rice recently planted moong dal,7.5Y 5/1 | Grey,Matte,Hole collapse,5.5,418.4,,,,,,2,194,C22,C,2,8865,10114,10197,14790,14225,11911
C-S20_20240214,2024-02-20T17:18:00Z,DN,Clayey,Fallow rice field,7.5Y 5/1 | Grey,Matte,Compacted soil,4.89,739.2,,,,,,2,194,C22,C,2,9319,10776,10822,16398,16864,13400
C-S21_20240215,2024-02-15T12:13:00Z,DN+GJ,Clayey,Fallow rice field,2.5 Y5/4 | Grey,Very dry,Soil cracked at the surface,5.16,937.2,,,,,,3,1273,C13,C,1,9322,10675,10839,16023,16523,13490
C-S22_20240215,2024-02-15T12:59:00Z,DN+GJ,Clayey,Fallow rice field,2.5 Y 5/3 | Yellowish grey,Dry,,5.54,1633,,1.633 mS/cm,,,,4,447,C14,C,1,9324,10597,11060,15135,16778,13934
C-S23_20240215,2024-02-15T14:19:00Z,DN+GJ,Clayey,Fallow rice recently planted moong dal,2.5 Y 4/2 | Dark greyish yellow,Slightly moist,,5.59,1448,,1.448 mS/cm,,,,3,1273,C13,C,1,9080,10383,10462,15050,15305,12814
C-S24_20240215,2024-02-15T14:33:00Z,DN,Clayey,Fallow rice field,10 YR 5/1 | Brownish grey,Moist,,6.12,1338,,,,,,3,518,C23,C,2,9631,11110,11515,17005,18217,14879
C-S25_20240215,2024-02-15T16:03:00Z,DN+GJ,Clayey,Fallow rice field,2.5Y 4/1 | Yellowish grey,Moist,,5.56,1849,,,2,7.5,,2,2234,C12,C,1,8698,10009,10060,13925,13801,11370
C-S26_20240215,2024-02-15T16:03:00Z,DN+GJ,Clayey,Fallow rice field,2.5Y 4/1 | Yellowish grey,Moist,DUPLICATE,5.67,1993,,,,,,2,2234,C12,C,1,8698,10009,10060,13925,13801,11370
C-S27_20240215,2024-02-15T17:06:00Z,DN+GJ,Clayey,Abandoned rice field turned wetland,2.5Y 3/3 | Dark olive brown,Wet,,5.22,2260,,,,,,2,2234,C12,C,1,8574,9863,9812,16012,15159,11760
C-S28_20240215,2024-02-15T17:47:00Z,DN,Clayey,Fallow rice field,2.5Y 5/2 | Dark greyish yellow,Matte,,5.33,1991,,,,,,1,3039,C11,C,1,9120,10352,10372,15148,16398,13244
C-S29_20240216,2024-02-16T12:06:00Z,DN+T,Clayey,Fallow rice field,2.5Y 5/1 | Yellowish grey,Matte,,5.58,217.7,,,,,,5,154,C25,C,2,9266,10591,10606,16505,15855,12999
C-S30_20240216,2024-02-16T13:23:00Z,DN+T,Clayey,Fallow rice field,2.5Y 5/2 | Dark greyish yellow,Matte,,6.44,306.6,,,,,,5,154,C25,C,2,8960,10373,10798,14963,16183,13776
C-S31_20240216,2024-02-16T14:51:00Z,DN+T,Clayey,Genda Phool'/ Marigold garden,2.5Y 4/4 | Brown,Slightly dry,Soil from adjacent rice field used here for gardening,5.66,650.7,,,,,,5,103,C45,C,4,8588,9762,9468,15381,13989,11094
C-S32_20240216,2024-02-16T15:13:00Z,DN+T,Clayey,Fallow rice recently planted moong dal,2.5 Y 5/3 | Yellowish grey,Dry | 2.5,,5.46,263.5,,,,,,5,103,C45,C,4,9286,10668,11044,15261,16218,13962
C-S33_20240216,2024-02-16T16:59:00Z,DN+T,Clayey,Fallow rice recently planted moong dal,7.5 R 5/2 | Greyish red,Wet | >10,,5.68,268.5,,,0.2,1.5,,5,116,C55,C,5,8718,10163,10055,16803,15602,12405
C-S34_20240216,2024-02-16T16:59:00Z,DN+T,Clayey,Fallow rice recently planted moong dal,7.5 R 5/2 | Greyish red,Wet | >10,DUPLICATE,5.69,264.4,,,,,,5,116,C55,C,5,8718,10163,10055,16803,15602,12405
C-S35_20240216,2024-02-16T17:24:00Z,DN+GJ+T,Clayey,Fallow rice recently planted moong dal,10R 5/1 | Reddish grey,Wet | >10,,5.85,181.8,,,,,,5,116,C55,C,5,9349,10689,10910,15526,17025,14278
C-S36_20240304,2024-03-04T10:57:00Z,T,Sandy,Fallow rice recently planted moong dal,2.5 Y 5/3 | Yellowish grey,10-Sep,Rice and moong dal cultivated,5.87,71.1,9.17,,,,,4,72,C54,C,5,9147,10496,10622,15305,15774,13331
C-S37_20240304,2024-03-04T11:14:00Z,T,Clayey,Fallow rice recently planted moong dal,10YR 5/2 | Greyish yellow brown,3,Rice and moong dal cultivated,6.12,127.8,12.18,,,,,4,72,C54,C,5,9269,10731,10660,16398,16462,13523
C-S38_20240304,2024-03-04T11:51:00Z,T,Clayey,Fallow rice field,5YR 5/2 | Greyish brown,Wet | >10,Rice moong and 'Biri'/Urad dal cultivated,5.56,1647,19.09,,,,,3,278,C53,C,5,9300,10605,10961,15413,17343,14482
C-S39_20240304,2024-03-04T12:13:00Z,T,Clayey,Fallow rice field,10YR 5/3 | Dull yellowish brown,3-Feb,Only rice cultivated using boring water ,6.1,348.2,16.89,,,,,3,278,C53,C,5,9325,10593,10598,15189,15534,12812
C-S40_20240304,2024-03-04T12:54:00Z,T,Clayey,Rice field,7.5 YR 5/2 | Greyish brown,Wet | >10,Only rice cultivated using boring water,6.49,1452,33.68,,,,,3,278,C53,C,5,8391,9527,9071,13574,11672,9655
C-S41_20240304,2024-03-04T15:39:00Z,T,Clayey,Fallow rice field,10YR 5/2 | Greyish yellow brown,Wet | >10,Only rice cultivated using boring water,7.13,1643,22.1,,,,,2,151,C52,C,5,9007,10194,10230,15309,15411,12441
C-S42_20240304,2024-03-04T16:16:00Z,T,Clayey,Fallow rice field,10R 5/1 | Reddish grey,Wet | >10,Only rice cultivated using boring water,5.99,1556,19.24,,,,,2,151,C52,C,5,9288,10775,10901,16360,16434,13592
C-S43_20240304,2024-03-04T16:32:00Z,T,Clayey,Abandoned field no agricultural use,2.5YR 5/2 | Greyish red,Wet | >10,,7.63,3826,22.44,,,,,1,26,C51,C,5,9342,10469,10668,15018,16515,13748
C-S44_20240304,2024-03-04T18:06:00Z,T,Clayey loamy,Fallow rice field,5Y 5/6 | Olive,5,Only rice cultivated using boring water,6.06,1787,15.44,,,,,2,296,C42,C,4,9037,10285,10383,15371,16553,13153
C-S45_20240304,2024-03-04T18:08:00Z,T,Clayey,Fallow rice field,2.5YR 5/3 | Dull reddish brown,Wet | >10,Only rice cultivated using boring water,4.85,562.8,30.86,,,,,2,296,C42,C,4,9134,10494,10855,16290,15547,13082
C-S46_20240304,2024-03-04T18:08:00Z,T,Clayey,Fallow rice field,5YR 5/2 | Greyish brown,1,Only rice cultivated using boring water,5.71,201,16.96,,,,,1,1495,C41,C,4,9031,10325,10309,14911,14618,11840
C-S47_20240305,2024-03-04T18:08:00Z,T,Clayey sand,Fallow rice field,7.5 YR 4/3 | Brown,1,Only rice cultivated using boring water,5,932.6,16.01,,,,,2,128,C32,C,3,9341,10796,11185,16392,17889,14481
C-S48_20240305,2024-03-04T18:08:00Z,T,Clayey sand,Rice field,5Y 5/4 | Olive,Wet | >10,Boring water,5.02,321.3,38.27,,,,,2,128,C32,C,3,8477,9943,9413,16697,13143,10414
C-S49_20240305,2024-03-04T18:08:00Z,T,Clayey sand,Rice field,5Y 5/4 | Olive,Wet | >10,Rice and moong dal cultivated using boring water,5.23,816.2,37.74,,,,,1,887,C31,C,3,8292,9912,9532,14296,11441,9586
C-S50_20240305,2024-03-04T18:08:00Z,T,Clayey sand,Fallow rice field,7.5 YR 5/4 | Dull brown,Wet | >10,Only rice cultivated,4.97,922.4,21.5,,,,,1,1495,C41,C,4,9332,10522,10601,15825,16719,13168
C-S51_20240305,2024-03-04T18:08:00Z,T,Clayey,Fallow rice field,2.5Y 4/6 | Olive brown,Wet | >10,Only rice cultivated,5.36,930.8,37.05,,,,,1,887,C31,C,3,9242,10438,10459,16810,17055,13231
C-S52_20240305,2024-03-04T18:08:00Z,T,Clayey,Rice field,5Y 5/3 | Greyish olive,Wet | >10,Only rice cultivated using boring water,4.39,926.6,41.33,,,,,1,1296,C21,C,2,8442,9831,9130,18542,13757,10387
C-S53_20240305,2024-03-04T18:08:00Z,GJ+T,Sandy,Forest cover,5Y 8/4 | Pale yellow,Wet | >10,,5.38,29.3,1.55,,,,,1,1296,C21,C,2,9470,10524,10858,14868,16372,13790
C-S54_20240305,2024-03-04T18:08:00Z,T,Clayey sand,Fallow rice field,2.5Y 4/6 | Olive brown,Wet | >10,,4.81,1404,33.5,,,,,1,3039,C11,C,1,9052,10277,10410,15311,16585,13143
C-S55_20240305,2024-03-04T18:08:00Z,T,Clayey sand,Fallow rice field,7.5 YR 4/6 | Brown,Wet | >10,Only rice cultivated,5.1,3312,23.46,,,,,1,26,C51,C,5,8927,10299,9919,17798,15593,11896
T-S01_20240217,,T,Clayey,Fallow rice field,7.5 YR 5/1| Brownish grey,Wet > 10,,4.7,1245,,,,,,5,1088,T35,T,3,9629,10765,10899,16338,17222,13593
T-S02_20240217,,T,Clayey,Fallow rice field,7.5 YR 5/1| Brownish grey,Dry,Cracked at the surface,5.27,756.4,,,,,,5,1618,T25,T,2,9643,10866,11249,15692,17411,14023
T-S03_20240217,,DN+T,Clayey,Drying aquaculture pond,5Y 5/1 | Grey,Wet,Prawn cultivation to begin towards end of February in the pond,6.64,2125,,,,,,5,1618,T25,T,2,,,,,,
T-S04_20240217,,T,Clayey,Fallow rice field,5Y 5/1 | Grey,Wet > 10,,7.32,2745,,,,,,4,2980,T24,T,2,9579,10725,10987,14862,16313,13341
T-S05_20240217,,T,Clayey,Fallow rice field,7.5 YR 5/1| Brownish grey,Wet > 10,,5.02,4485,,,,,,3,3265,T23,T,2,9473,10552,10728,15065,16015,12942
T-S06_20240217,,DN+T,Clayey,Drying aquaculture pond,5Y 5/1 | Grey,Wet,DUPLICATE of T-S03_20240217,6.77,2089,,,1.9,1.7,,5,1618,T25,T,2,,,,,,
T-S07_20240217,,T,Clayey,Drying aquaculture pond,7.5 YR 5/1| Brownish grey,Wet > 10,,5.3,6410,,,,,,3,3265,T23,T,2,9694,10924,11309,14919,16464,13938
T-S08_20240218,,T,Clayey,Fallow rice field,2.5Y 5/6 | Yellowish grey,Wet > 10,,5.68,924.4,13.4,,,,,5,2150,T55,T,5,9229,10238,10101,15314,14465,11621
T-S09_20240218,,T,Clayey sand,Fallow rice recently planted moong dal,2.5Y 5/6 | Yellowish grey,Wet > 10,,6.24,160.2,10.8,,,,,5,2150,T55,T,5,9080,10224,10211,15880,15173,12088
T-S10_20240218,,T,Clayey,Fallow rice recently planted moong dal,2.5Y 5/4 | Yellowish grey,Wet > 10,,6.37,130.8,13.6,,,,,4,1173,T44,T,4,9330,10786,10716,16943,16346,12960
T-S11_20240218,,T,Clayey,Fallow rice recently planted moong dal,2.5Y 5/4 | Yellowish grey,Wet | 9,,6.33,405.1,10.6,,,,,4,3363,T54,T,5,9709,11027,11439,15344,17010,14495
T-S12_20240218,,T,Clayey,Scrapped dry aquaculture pond,2.5Y 7/2 | Greyish yellow,Wet,,5.69,6372,36.3,,,,,4,3363,T54,T,5,9243,10632,10876,13539,13797,11903
T-S13_20240218,,T,Clayey sand,Fallow rice field,5Y 4/1 | Grey,Wet > 10,,6.9,1132,8.5,,,,,3,1113,T53,T,5,9603,10575,11081,15237,17356,13973
T-S14_20240218,2024-02-19T08:36:00Z,T,Clayey,Fallow rice field,10R 4/1 | Dark reddish grey,Wet > 10,,5.9,1669,25.3,,,,,2,5707,T42,T,4,,,,,,
T-S15_20240218,2024-02-19T08:38:00Z,T,Clayey,Fallow rice field,5Y 6/4 | Olive yellow,Wet > 10,,4.93,1428,27.6,,,,,3,1113,T53,T,5,8988,10254,10169,15044,13312,11113
T-S16_20240218,2024-02-19T08:39:00Z,T,Clayey sand,Rice field,7.YR 5/1 | Brownish grey,Wet > 10,,5.29,142.4,35.3,,,,,2,479,T52,T,5,8762,10010,9785,16227,14199,11014
T-S17_20240218,2024-02-19T08:40:00Z,T,Clayey,Drying aquaculture pond,2.5Y 5/3 | Yellowish grey,Wet,,3.89,8242,19.3,,,,,2,479,T52,T,5,10212,11521,12286,14795,17172,14314
T-S18_20240218,,T,Clayey,Scrapped dry aquaculture pond,2.5Y 7/2 | Greyish yellow,Wet,DUPLICATE of T-S12_20240218,5.4,5867,34.9,,5.2,8.3,3.9,4,3363,T54,T,5,9243,10632,10876,13539,13797,11903
T-S19_20240219,2024-02-19T13:04:00Z,DN+T,Clayey,Abandoned aquaculture pond,2.5Y 6/2 | Greyish yellow,Wet,Growth of grass and abandoned/used equipment dumped on location,7.65,8127,60.16,,,,,3,3763,T33,T,3,8806,10132,10128,14154,13789,11106
T-S20_20240219,2024-02-19T11:09:00Z,DN+T,Clayey,Fallow rice field,10YR 5/1 | Brownish grey,Matte,,6.53,578.3,21.32,,,,,5,1088,T35,T,3,9643,10705,11018,14711,16870,13888
T-S21_20240219,2024-02-19T11:32:00Z,DN+T,Clayey,Fallow rice field,10YR 5/2 | Greyish yellow brown,Wet > 10,Next to potentially abandoned aquaculture pond,6.33,6652,25.35,,,,,4,3651,T34,T,3,9158,10270,10354,13606,14706,12058
T-S22_20240219,2024-02-19T11:57:00Z,DN+T,Clayey,Fallow rice field,2.5Y 5/4 | Yellowish grey,Wet > 10,Next to drying aquaculture pond,5.4,753.6,21.74,,,,,4,3651,T34,T,3,9969,10987,11580,14938,18130,15357
T-S23_20240219,2024-02-19T12:28:00Z,DN+T,Clayey,Drying aquaculture pond,10YR 6/1 | Brownish grey,Wet,Aquaculture is to begin at the end of February near irrigation canal in Bartol,6.72,2228,44.7,Location recorded in GF photo inaccurate corrected in consolidated files,,,,3,3763,T33,T,3,,,,,,
T-S24_20240219,2024-02-19T15:12:00Z,DN+T,Clayey,Scrapped dry aquaculture pond,10YR 5/1 | Brownish grey,Wet,Point 1 of a local transect next to an aquaculture pond vennami prawn being cultivaated since 3 years and rice before that salinity is maintained at 30% without adding groundwater - water source is the nearby canal,7.28,3634,39.39,,,,,2,6056,T32,T,3,,,,,,
T-S25_20240219,2024-02-19T15:20:00Z,DN+T,Clayey,Scrapped dry aquaculture pond,10YR 5/1 | Brownish grey,Wet,Point 2 of a local transect on the other side of a drying aquaculture pond,7.29,3630,51.54,,,,,2,6056,T32,T,3,9209,10787,11002,13333,14140,11917
T-S26_20240219,2024-02-19T15:28:00Z,DN+T,Clayey,No agricultural use no surrounding built-up,2.5Y 6/1 | Greyish yellow,Wet,Point 3 in a neighbouring land parcel. This field was reportedly never used for agriculture,7.07,3548,37.03,,,,,2,6056,T32,T,3,9209,10787,11002,13333,14140,11917
T-S27_20240219,2024-02-19T15:51:00Z,DN+T,Clayey,Drying aquaculture pond,2.5Y 6/2 | Greyish yellow,Wet,,8.53,2042,24.52,,,,,2,6056,T32,T,3,10244,11818,12439,14622,15622,13441
T-S28_20240219,2024-02-19T16:10:00Z,DN+T,Clayey,Dried aquaculture pond,2.5 Y 5/3 | Yellowish grey,Wet > 10 | Matte,Cracked at the surface but slightly moist to touch 15 cm bgl,4.78,5508,28.78,Location recorded in GF photo inaccurate corrected in consolidated files,,,,1,5202,T31,T,3,9713,10993,11370,13863,15796,13723
T-S29_20240219,2024-02-19T16:26:00Z,DN+T,Clayey sand,River floodplain,10YR 6/3 | Dull yellow orange,Wet > 10 | Moist,,7.45,5203,11.62,Location slightly off corrected in consolidated files,,,,1,5202,T31,T,3,9376,10795,11048,14147,15193,13062
T-S30_20240219,2024-02-19T17:31:00Z,DN+T,Clayey,Fallow rice field,2.5Y 6/4 | Dull yellow,Dry | 1,Cracked at the surface,4.83,2125,12.64,Location recorded in GF photo inaccurate corrected in consolidated files,,,,3,3758,T43,T,4,10002,11175,11666,15868,18133,14906
T-S31_20240220,2024-02-20T11:24:00Z,DN+T,Clayey,Fallow rice field,2.5YR 5/2 | Greyish red,Wet > 10 | Matte,Slightly cracked at the surface additional sample in cell (12) taken since the soil and groundwater are less saline than those found on the other side of the road for many decades. Reportedly 'jwara ka paani' doesn't reach the other side of the road.,6.68,1585,12.83,,,,,5,1618,T25,T,2,9563,10779,10991,14934,16439,13783
T-S32_20240220,2024-02-20T11:46:00Z,DN+T,Sandy clay,Fallow rice field,2.5YR 5/2 | Greyish red,Wet > 10 | Matte,,4.6,631.7,18.66,Location slightly off corrected in consolidated files,,,,5,2487,T15,T,1,9894,10975,11658,15039,18119,14978
T-S33_20240220,2024-02-20T12:01:00Z,DN+T,Sandy clay,Fallow rice field,10YR 5/2 | Greyish yellow brown,Dry | 1,,4.83,675.5,14.58,Location slightly off corrected in consolidated files,,,,5,2487,T15,T,1,9427,10646,10902,15201,17577,14302
T-S34_20240220,2024-02-20T12:36:00Z,DN+T,Clayey,Fallow field,7.5 YR 5/1| Brownish grey,Wet > 10,,5.7,2642,32.26,,,,,4,3022,T14,T,1,9233,10364,10672,14009,15567,12847
T-S35_20240220,2024-02-20T12:50:00Z,DN+T,Clayey,Drying aquaculture pond,2.5YR 5/1 | Reddish grey,Wet > 10 | Matte,Cultivate vennami prawn since 15 years salinity levels are at 10% now and go up to 30-40 % in March,7.08,5108,26,Location slightly off corrected in consolidated files,,,,4,3022,T14,T,1,9890,11381,12065,14115,15920,14037
T-S36_20240220,2024-02-20T13:40:00Z,DN+T,Clayey,Drying aquaculture pond,7.5YR 6/1 | Brownish grey,Wet,Cultivate vennami prawn since 8 years salinity levels are at 10 - 15 % using canal water only upcoming growing season is from March - June (3-4 months),6.68,5005,44.34,Location slightly off corrected in consolidated files,,,,3,2269,T13,T,1,9242,11005,11637,14280,16647,13595
T-S37_20240220,2024-02-20T14:22:00Z,DN+T,Clayey,Fallow rice field,10YR 6/1 | Brownish grey,Wet > 10 | Moist,Location on canal floodplain with a high bund wall that obstructs flow of water onto the adjoining road,6.28,2445,24.13,Location slightly off corrected in consolidated files,,,,3,2269,T13,T,1,9382,10624,10857,15827,17089,13343
T-S38_20240220,2024-02-20T14:44:00Z,DN+T,Clayey,Drying aquaculture pond,10YR 5/1 | Brownish grey,Wet,Some ponds are lined with black polymer sheets (?) in the area,6.9,5745,56.22,Location slightly off corrected in consolidated files,,,,3,3265,T23,T,2,9677,10813,11137,13780,15207,13079
T-S39_20240220,2024-02-20T15:06:00Z,DN+T,Sandy clay,Fallow rice field,10YR 6/2 | Greyish yellow brown,Wet > 10 | Moist,,5.08,1986,20.19,,,,,2,4348,T22,T,2,9541,10775,11104,15265,16172,13077
T-S40_20240220,2024-02-20T15:27:00Z,DN+T,Clayey,Scrapped dry aquaculture pond,2.5 Y 6/3 | Dull yellow,Wet,,4.68,5563,29.74,,,,,2,4348,T22,T,2,10045,11478,12118,14734,17105,14909
T-S41_20240220,2024-02-20T15:45:00Z,DN+T,Clayey,Drying aquaculture pond,5Y 5/6 | Olive with black streaks,Wet,Cultivate vennami prawn since 3 years salinity levels are at 12 - 15 % throughout by mixing water from two tubewells installed 2-3 years at 240' (saline) and 350' bgl (freshwater),7.12,6542,36.71,,,,,2,2955,T12,T,1,,,,,,
T-S42_20240220,2024-02-20T16:21:00Z,DN+T,Clayey,Drying aquaculture pond,10YR 5/2 | Greyish yellow brown,Wet,Cultivate vennami prawn since 8-10 years salinity levels are at 25% now and goes up to 45-50% in summer,6.81,5648,37.94,Location recorded in GF photo inaccurate corrected in consolidated files,,,,2,2955,T12,T,1,10170,11836,12544,14828,17990,15170
T-S43_20240220,2024-02-20T16:56:00Z,DN+T,Clayey,Fallow rice field,10YR 5/1 | Brownish grey,Wet > 10 | Matte,,6.05,1133,15.39,,,,,1,3389,T21,T,2,10034,10964,11531,14482,16445,13710
T-S44_20240220,2024-02-20T17:18:00Z,DN+T,Clayey sand,Rice field,10YR 5/2 | Greyish yellow brown,Wet,Could have an aquaculture pond closeby,5.09,732.1,20.53,,,,,1,3389,T21,T,2,8688,9642,9308,14127,11735,9832
T-S45_20240306,2024-02-20T17:18:00Z,GJ+T,Sandy clay,Fallow rice recently planted moong dal,2.5YR 4/4 | Dull reddish brown,7.5,Rice and moong dal cultivated using boring water,5.34,190.8,17.38,,,,,5,1884,T45,T,4,9660,10979,11405,15060,16815,14539
T-S46_20240306,2024-02-20T17:18:00Z,GJ+T,Clayey sand,Fallow rice field,2.5YR 4/6 | Reddish brown,2,,4.66,547.2,20.32,,,,,5,1884,T45,T,4,9592,10762,11076,15995,17289,13798
T-S47_20240306,2024-02-20T17:18:00Z,GJ+T,Clayey,Fallow rice field,10YR 6/4 | Dull yellow orange,1,,5.74,229.8,13.74,,,,,4,1173,T44,T,4,9569,10615,10829,14877,15556,13205
T-S48_20240306,2024-02-20T17:18:00Z,GJ+T,Clayey sand,Fallow rice field,7.5YR 5/6 | Bright brown,2,Near an aquaculture pond - vennami prawn,5.48,425.5,8.37,,,,,3,3758,T43,T,4,9779,10741,11014,14633,17311,14056
T-S49_20240306,2024-02-20T17:18:00Z,GJ+T,Clayey sand,Abandoned field no agricultural use,2.5Y 5/6 | Yellowish grey,Wet | >10,Very close to an aquaculture pond,5.58,1777,28.78,,,,,3,3758,T43,T,4,10360,11409,12044,15750,18715,15755
T-S50_20240306,2024-02-20T17:18:00Z,GJ+T,Clayey sand,Drying aquaculture pond,2.5Y 4/6 | Olive brown,Wet | >10,,6.47,5120,42.65,,,,,2,5707,T42,T,4,9271,10486,10617,12778,13496,11744
T-S51_20240306,2024-02-20T17:18:00Z,GJ+T,Sandy,Rice field,5G 5/1 | Greenish grey,Wet | >10,,5.11,1678,20.85,,,,,1,2954,T41,T,4,8397,9581,8904,14753,11362,9498
T-S52_20240306,2024-02-20T17:18:00Z,GJ+T,Sandy clay,Rice field,10Y 5/2 | Olive grey,Wet | >10,Only rice using boring water,6.31,676.1,35.63,,,,,1,2954,T41,T,4,8583,9778,9163,14960,11374,9449
T-S53_20240306,2024-02-20T17:18:00Z,GJ+T,Sandy clay,Rice field,10Y 5/2 | Olive grey,Wet | >10,,6.82,488.2,44.06,,,,,1,2561,T51,T,5,8756,10193,9785,14329,11314,9529
T-S54_20240306,2024-02-20T17:18:00Z,GJ+T,Sandy clay,Drying aquaculture pond,5Y 6/3 | Olive yellow,Wet | >10,Near an aquaculture pond - vennami prawn cultivated using canal and borewell water,8.25,3040,35.84,,,,,1,2561,T51,T,5,9158,10191,10124,13329,13524,11227
T-S55_20240306,2024-02-20T17:18:00Z,GJ+T,Clayey,Fallow rice field,2.5Y 4/6 | Olive brown,Wet | >10,,4.98,4530,28.3,,,,,4,2980,T24,T,2,,,,,,
T-S56_20240307,2024-02-20T17:18:00Z,GJ+T,Clayey sand,Drying aquaculture pond,10YR 4/4 | Brown,Wet | >10,,4.58,3521,43.62,,,,,1,3389,T21,T,2,9526,10921,10937,12717,14005,11517
T-S57_20240307,2024-02-20T17:18:00Z,GJ+T,Sandy,Abandoned field,10Y 5/2 | Olive grey,Wet | >10,Near an aquaculture pond where vennami prawn is cultivated,6.1,1242,22.28,,,,,1,4923,T11,T,1,8791,10148,10007,13614,11868,9789
T-S58_20240307,2024-02-20T17:18:00Z,GJ+T,Sandy clay,Drying aquaculture pond,2.5Y 4/4 | Olive brown,Wet | >10,,7.13,1329,28.65,,,,,1,4923,T11,T,1,8878,10263,10128,13418,12595,9946
